103_1241_000000_000001	Matthew Cuthbert is surprised	matthew Cuthbert is surprised
103_1241_000042_000001	Which would you rather be if you had the choice--divinely beautiful or dazzlingly clever or angelically good?"	Which would you rather be if you had the choice-divinely beautiful or dazzlingly clever or angelically good?"
103_1241_000044_000002	It's certain I'll never be angelically good.	It's certain I'll never be angelically good.
103_1241_000044_000003	Mrs. Spencer says--oh, Mr. Cuthbert!	mrs Spencer says-oh, mr Cuthbert!
103_1241_000044_000004	Oh, Mr. Cuthbert!!	Oh, mr Cuthbert!!
103_1241_000044_000005	Oh, Mr. Cuthbert!!!"	Oh, mr Cuthbert!!!"
103_1241_000045_000001	They had simply rounded a curve in the road and found themselves in the "Avenue."	They had simply rounded a curve in the road and found themselves in the "Avenue."
103_1241_000052_000006	Did you ever have an ache like that, Mr. Cuthbert?"	Did you ever have an ache like that, mr Cuthbert?"
103_1241_000053_000000	"Well now, I just can't recollect that I ever had."	"Well now, I just can't recollect that I ever had."
103_1241_000054_000007	Other people may call that place the Avenue, but I shall always call it the White Way of Delight. Have we really only another mile to go before we get home?	Other people may call that place the Avenue, but I shall always call it the White Way of Delight. Have we really only another mile to go before we get home?
103_1241_000054_000010	Something still pleasanter may come after, but you can never be sure.	Something still pleasanter may come after, but you can never be sure.
103_1241_000054_000013	But I'm glad to think of getting home.	But I'm glad to think of getting home.
103_1241_000056_000000	"That's Barry's pond," said Matthew.	"That's Barry's pond," said matthew.
103_1241_000060_000001	Do you think it can?	Do you think it can?
103_1241_000060_000003	But why do other people call it Barry's pond?"	But why do other people call it Barry's pond?"
103_1241_000061_000001	Orchard Slope's the name of his place.	Orchard Slope's the name of his place.
103_1241_000066_000004	So I shut my eyes.	So I shut my eyes.
103_1241_000066_000006	Because, you see, if the bridge DID crumple up I'd want to SEE it crumple.	Because, you see, if the bridge DID crumple up I'd want to SEE it crumple.
103_1241_000066_000008	I always like the rumble part of it.	I always like the rumble part of it.
103_1241_000066_000011	Now I'll look back.	Now I'll look back.
103_1241_000069_000002	I'm sure I'll guess right."	I'm sure I'll guess right."
103_1241_000071_000000	"That's it, isn't it?" she said, pointing.	"That's it, isn't it?" she said, pointing.
103_1241_000073_000001	But I reckon Mrs. Spencer described it so's you could tell."	But I reckon mrs Spencer described it so's you could tell."
103_1241_000074_000000	"No, she didn't--really she didn't.	"No, she didn't-really she didn't.
103_1241_000074_000001	All she said might just as well have been about most of those other places.	All she said might just as well have been about most of those other places.
103_1241_000074_000002	I hadn't any real idea what it looked like.	I hadn't any real idea what it looked like.
