27_124992_000000_000000	1:2.	one to two.	false	61.905	72.78	17.276249
27_124992_000008_000001	And to all that were in Samaria, and beyond the river Jordan even to Jerusalem, and all the land of Jesse till you come to the borders of Ethiopia.	And to all that were in Samaria, and beyond the river Jordan even to Jerusalem, and all the land of Jesse till you come to the borders of Ethiopia.	true	149.79	159.27	17.797413
27_124992_000009_000000	1:10.	one ten.	false	159.27	160.44	-20
27_124992_000009_000001	To all these Nabuchodonosor king of the Assyrians, sent messengers:	To all these Nabuchodonosor king of the Assyrians, sent messengers:	false	160.44	165.12	11
27_124992_000010_000000	1:11.	one eleven.	false	165.12	166.14	-20
27_124992_000010_000001	But they all with one mind refused, and sent them back empty, and rejected them without honour.	But they all with one mind refused, and sent them back empty, and rejected them without honour.	true	166.14	172.26	18.656063
27_124992_000011_000000	1:12.	one twelve.	false	172.26	173.07	-20
27_124992_000011_000001	Then king Nabuchodonosor being angry against all that land, swore by his throne and kingdom that he would revenge himself of all those countries.	Then king Nabuchodonosor being angry against all that land, swore by his throne and kingdom that he would revenge himself of all those countries.	false	173.07	226.89	18.763731
27_124992_000012_000000	Judith Chapter 2	Judith Chapter two	false	226.89	230.16	19.835075
27_124992_000013_000000	Nabuchodonosor sendeth Holofernes to waste the countries of the west.	Nabuchodonosor sendeth Holofernes to waste the countries of the west.	false	230.16	234.93	18
27_124992_000014_000000	2:1.	two to one.	false	234.93	236.82	-20
27_124992_000014_000001	In the thirteenth year of the reign of Nabuchodonosor, the two and twentieth day of the first month, the word was given out in the house of Nabuchodonosor king of the Assyrians, that he would revenge himself.	In the thirteenth year of the reign of Nabuchodonosor, the two and twentieth day of the first month, the word was given out in the house of Nabuchodonosor king of the Assyrians, that he would revenge himself.	false	236.82	250.68	20.314447
27_124992_000015_000000	2:2.	two to two.	false	250.68	251.19	0
27_124992_000015_000001	And he called all the ancients, and all the governors, and his officers of war, and communicated to them the secret of his counsel:	And he called all the ancients, and all the governors, and his officers of war, and communicated to them the secret of his counsel:	true	251.19	259.89	20.29453
27_124992_000016_000000	2:3.	two to three.	false	259.89	260.895	-20
27_124992_000016_000001	And he said that his thoughts were to bring all the earth under his empire.	And he said that his thoughts were to bring all the earth under his empire.	true	260.895	265.05	18
27_124992_000017_000000	2:4.	two to four.	false	265.05	266.04	-20
27_124992_000017_000001	And when this saying pleased them all, Nabuchodonosor, the king, called Holofernes the general of his armies,	And when this saying pleased them all, Nabuchodonosor, the king, called Holofernes the general of his armies,	false	266.04	273.6	20.42935
27_124992_000018_000000	2:5.	two to five.	false	273.6	273.84	-20
27_124992_000018_000001	And said to him: Go out against all the kingdoms of the west, and against them especially that despised my commandment.	And said to him: Go out against all the kingdoms of the west, and against them especially that despised my commandment.	false	273.84	281.97	22.248528
27_124992_000019_000000	2:6.	two to six.	false	281.97	282.54	-20
27_124992_000019_000001	Thy eye shall not spare any kingdom, and all the strong cities thou shalt bring under my yoke.	Thy eye shall not spare any kingdom, and all the strong cities thou shalt bring under my yoke.	false	282.54	288.39	18
27_124992_000020_000000	2:7.	two to seven.	false	288.39	289.65	-20
27_124992_000020_000001	Then Holofernes called the captains, and officers of the power of the Assyrians: and he mustered men for the expedition, and the king commanded him, a hundred and twenty thousand fighting men on foot, and twelve thousand archers, horsemen.	Then Holofernes called the captains, and officers of the power of the Assyrians: and he mustered men for the expedition, and the king commanded him, a hundred and twenty thousand fighting men on foot, and twelve thousand archers, horsemen.	true	289.65	306.6	20.601868
27_124992_000021_000000	2:8.	two to eight.	false	306.6	307.515	-20
27_124992_000021_000001	And he made all his warlike preparations to go before with a multitude of innumerable camels, with all provisions sufficient for the armies in abundance, and herds of oxen, and flocks of sheep, without number.	And he made all his warlike preparations to go before with a multitude of innumerable camels, with all provisions sufficient for the armies in abundance, and herds of oxen, and flocks of sheep, without number.	true	307.515	321.6	20
27_124992_000022_000000	2:9.	two to nine.	false	321.6	322.77	-20
27_124992_000022_000001	He appointed corn to be prepared out of all Syria in his passage.	He appointed corn to be prepared out of all Syria in his passage.	false	322.77	327.15	16
27_124992_000023_000000	2:10.	two ten.	false	327.15	327.78	-20
27_124992_000023_000001	But gold and silver he took out of the king's house in great abundance.	But gold and silver he took out of the king's house in great abundance.	true	327.78	332.34	18
27_124992_000024_000000	2:11.	two eleven.	false	332.34	332.94	-20
27_124992_000024_000001	And he went forth he and all the army, with the chariots, and horsemen, and archers, who covered the face of the earth, like locusts.	And he went forth he and all the army, with the chariots, and horsemen, and archers, who covered the face of the earth, like locusts.	true	332.94	342.03	21.715576
27_124992_000025_000000	2:12.	two twelve.	false	342.03	343.02	-20
27_124992_000025_000001	And when he had passed through the borders of the Assyrians, he came to the great mountains of Ange, which are on the left of Cilicia: and he went up to all their castles, and took all the strong places.	And when he had passed through the borders of the Assyrians, he came to the great mountains of Ange, which are on the left of Cilicia: and he went up to all their castles, and took all the strong places.	false	343.02	356.76	21.058735
27_124992_000026_000000	2:13.	two thirteen.	false	356.76	357.75	-20
27_124992_000026_000001	And he took by assault the renowned city of Melothus, and pillaged all the children of Tharsis, and the children of Ismahel, who were over against the face of the desert, and on the south of the land of Cellon.	And he took by assault the renowned city of Melothus, and pillaged all the children of Tharsis, and the children of Ismahel, who were over against the face of the desert, and on the south of the land of Cellon.	true	357.75	371.82	20.373314
27_124992_000027_000000	2:14.	two fourteen.	false	371.82	372.78	-20
27_124992_000027_000001	And he passed over the Euphrates and came into Mesopotamia: and he forced all the stately cities that were there, from the torrent of Mambre, till one comes to the sea:	And he passed over the Euphrates and came into Mesopotamia: and he forced all the stately cities that were there, from the torrent of Mambre, till one comes to the sea:	true	372.78	383.43	19
27_124992_000028_000000	2:15.	two fifteen.	false	383.43	383.91	-20
27_124992_000028_000001	And he took the borders thereof, from Cilicia to the coasts of Japheth, which are towards the south.	And he took the borders thereof, from Cilicia to the coasts of Japheth, which are towards the south.	true	383.91	390.15	18
27_124992_000029_000000	2:16.	two sixteen.	false	390.15	390.99	-7
27_124992_000029_000001	And he carried away all the children of Madian, and stripped them of all their riches, and all that resisted him he slew with the edge of the sword.	And he carried away all the children of Madian, and stripped them of all their riches, and all that resisted him he slew with the edge of the sword.	false	390.99	400.65	19
27_124992_000030_000000	2:17.	two seventeen.	false	400.65	401.28	-20
27_124992_000030_000001	And after these things he went down into the plains of Damascus in the days of the harvest, and he set all the corn on fire, and he caused all the trees and vineyards to be cut down.	And after these things he went down into the plains of Damascus in the days of the harvest, and he set all the corn on fire, and he caused all the trees and vineyards to be cut down.	false	401.28	413.58	19
27_124992_000031_000000	2:18.	two eighteen.	false	413.58	414.51	-20
27_124992_000031_000001	And the fear of them fell upon all the inhabitants of the land.	And the fear of them fell upon all the inhabitants of the land.	true	414.51	418.57	17
27_124992_000032_000000	Judith Chapter 3	Judith Chapter three	true	420.29	422.35	22.596043
27_124992_000033_000000	Many submit themselves to Holofernes.	Many submit themselves to Holofernes.	false	422.87	425.94	20.81966
27_124992_000033_000001	He destroyeth their cities, and their gods, that Nabuchodonosor only might be called God.	He destroyeth their cities, and their gods, that Nabuchodonosor only might be called God.	false	425.94	432.15	20
27_124992_000034_000000	3:1.	three to one.	false	432.15	433.965	-20
27_124992_000034_000001	Then the kings and the princes of all the cities and provinces, of Syria, Mesopotamia, and Syria Sobal, and Libya, and Cilicia sent their ambassadors, who coming to Holofernes, said:	Then the kings and the princes of all the cities and provinces, of Syria, Mesopotamia, and Syria Sobal, and Libya, and Cilicia sent their ambassadors, who coming to Holofernes, said:	true	433.965	447.87	20.939667
27_124992_000035_000000	3:2.	three to two.	false	447.87	448.5	-3
27_124992_000035_000001	Let thy indignation towards us cease, for it is better for us to live and serve Nabuchodonosor the great king, and be subject to thee, than to die and to perish, or suffer the miseries of slavery.	Let thy indignation towards us cease, for it is better for us to live and serve Nabuchodonosor the great king, and be subject to thee, than to die and to perish, or suffer the miseries of slavery.	false	448.5	461.46	20.716713
27_124992_000036_000000	3:3.	three to three.	false	461.46	462.195	0
27_124992_000036_000001	All our cities and our possessions, all mountains and hills, and fields, and herds of oxen, and flocks of sheep, and goats, and horses, and camels, and all our goods, and families are in thy sight:	All our cities and our possessions, all mountains and hills, and fields, and herds of oxen, and flocks of sheep, and goats, and horses, and camels, and all our goods, and families are in thy sight:	false	462.195	476.4	20.67846
27_124992_000037_000000	3:4.	three to four.	false	476.4	477.03	-20
27_124992_000037_000001	Let all we have be subject to thy law,	Let all we have be subject to thy law,	true	477.03	479.94	21.638145
27_124992_000038_000000	3:5.	three to five.	false	479.94	480.09	1
27_124992_000038_000001	Both we and our children are thy servants.	Both we and our children are thy servants.	true	480.09	482.97	17
27_124992_000039_000000	3:6.	three to six.	false	482.97	483.705	-20
27_124992_000039_000001	Come to us a peaceable lord, and use our service as it shall please thee,	Come to us a peaceable lord, and use our service as it shall please thee,	false	483.705	488.82	20.672928
27_124992_000040_000000	3:7.	three to seven.	false	488.82	489.9	-20
27_124992_000040_000001	Then he came down from the mountains with horsemen, in great power, and made himself master of every city, and all the inhabitants of the land.	Then he came down from the mountains with horsemen, in great power, and made himself master of every city, and all the inhabitants of the land.	true	489.9	499.38	19.39948
27_124992_000041_000000	3:8.	three to eight.	false	499.38	500.505	-20
27_124992_000041_000001	And from all the cities he took auxiliaries valiant men, and chosen for war,	And from all the cities he took auxiliaries valiant men, and chosen for war,	true	500.505	505.86	17
27_124992_000042_000000	3:9.	three to nine.	false	505.86	506.265	-20
27_124992_000042_000001	And so great a fear lay upon all those provinces, that the inhabitants of all the cities, both princes and nobles, as well as the people, went out to meet him at his coming.	And so great a fear lay upon all those provinces, that the inhabitants of all the cities, both princes and nobles, as well as the people, went out to meet him at his coming.	false	506.265	517.62	20
27_124992_000043_000000	3:10.	three ten.	false	517.62	518.22	-20
27_124992_000043_000001	And received him with garlands, and lights, and dances, and timbrels, and flutes.	And received him with garlands, and lights, and dances, and timbrels, and flutes.	true	518.22	523.2	14
27_124992_000044_000000	3:11.	three eleven.	false	523.2	524.19	-20
27_124992_000044_000001	And though they did these things, they could not for all that mitigate the fierceness of his heart:	And though they did these things, they could not for all that mitigate the fierceness of his heart:	true	524.19	530.64	20.35178
27_124992_000045_000000	3:12.	three twelve.	false	530.64	531.18	-20
27_124992_000045_000001	For he both destroyed their cities, and cut down their groves.	For he both destroyed their cities, and cut down their groves.	true	531.18	535.08	18
27_124992_000046_000000	3:13.	three thirteen.	false	535.08	535.59	-20
27_124992_000046_000001	For Nabuchodonosor the king had commanded him to destroy all the gods of the earth, that he only might be called God by those nations which could be brought under him by the power of Holofernes.	For Nabuchodonosor the king had commanded him to destroy all the gods of the earth, that he only might be called God by those nations which could be brought under him by the power of Holofernes.	false	535.59	548.31	19
27_124992_000047_000000	3:14.	three fourteen.	false	548.31	549.54	4
27_124992_000047_000001	And when he had passed through all Syria Sobal, and all Apamea, and all Mesopotamia, he came to the Idumeans into the land of Gabaa,	And when he had passed through all Syria Sobal, and all Apamea, and all Mesopotamia, he came to the Idumeans into the land of g a b a a,	false	549.54	559.71	20.054316
27_124992_000048_000000	3:15.	three fifteen.	false	559.71	560.01	-20
27_124992_000048_000001	And he took possession of their cities, and stayed there for thirty days, in which days he commanded all the troops of his army to be united.	And he took possession of their cities, and stayed there for thirty days, in which days he commanded all the troops of his army to be united.	false	560.01	568.75	20
27_124992_000049_000000	Judith Chapter 4	Judith Chapter four	true	570.17	572.2	20.677725
27_124992_000050_000000	The children of Israel prepare themselves to resist Holofernes.	The children of Israel prepare themselves to resist Holofernes.	false	572.93	577.23	19.065933
27_124992_000050_000001	They cry to the Lord for help.	They cry to the Lord for help.	false	577.23	579.21	21.43588
27_124992_000051_000000	4:1.	four to one.	false	579.21	580.86	-20
27_124992_000051_000001	Then the children of Israel, who dwelt in the land of Juda, hearing these things, were exceedingly afraid of him.	Then the children of Israel, who dwelt in the land of Juda, hearing these things, were exceedingly afraid of him.	true	580.86	587.49	19
27_124992_000052_000000	4:2. Dread and horror seized upon their minds, lest he should do the same to Jerusalem and to the temple of the Lord, that he had done to other cities and their temples.	four to two. Dread and horror seized upon their minds, lest he should do the same to Jerusalem and to the temple of the Lord, that he had done to other cities and their temples.	false	587.49	597.72	20
27_124992_000053_000000	4:3.	four to three.	false	597.72	598.8	-20
27_124992_000053_000001	And they sent into all Samaria round about, as far as Jericho, and seized upon all the tops of the mountains:	And they sent into all Samaria round about, as far as Jericho, and seized upon all the tops of the mountains:	true	598.8	605.7	18
27_124992_000054_000000	4:4.	four to four.	false	605.7	606.27	-20
27_124992_000054_000001	And they compassed their towns with walls and gathered together corn for provision for war.	And they compassed their towns with walls and gathered together corn for provision for war.	false	606.27	611.82	14
27_124992_000055_000000	4:5.	four to five.	false	611.82	612.45	-20
27_124992_000055_000001	And Eliachim the priest wrote to all that were over against Esdrelon, which faceth the great plain near Dothain, and to all by whom there might be a passage of way, that they should take possession of the ascents of the mountains, by which there might be any way to Jerusalem, and should keep watch where the way was narrow between the mountains.	And Eliachim the priest wrote to all that were over against Esdrelon, which faceth the great plain near Dothain, and to all by whom there might be a passage of way, that they should take possession of the ascents of the mountains, by which there might be any way to Jerusalem, and should keep watch where the way was narrow between the mountains.	false	612.45	634.38	21
27_124992_000056_000000	4:6.	four to six.	false	634.38	635.4	-20
27_124992_000056_000001	And the children of Israel did as the priests of the Lord Eliachim had appointed them.	And the children of Israel did as the priests of the Lord Eliachim had appointed them.	false	635.4	641.04	19
27_124992_000057_000000	4:7.	four to seven.	false	641.04	641.49	-20
27_124992_000057_000001	And all the people cried to the Lord with great earnestness, and they humbled their souls in fastings, and prayers, both they and their wives.	And all the people cried to the Lord with great earnestness, and they humbled their souls in fastings, and prayers, both they and their wives.	true	641.49	650.91	21
27_124992_000058_000000	4:8.	four to eight.	false	650.91	651.66	-20
27_124992_000058_000001	And the priests put on haircloths, and they caused the little children to lie prostrate before the temple of the Lord, and the altar of the Lord they covered with haircloth.	And the priests put on haircloths, and they caused the little children to lie prostrate before the temple of the Lord, and the altar of the Lord they covered with haircloth.	true	651.66	661.74	19
27_124992_000059_000000	4:9.	four to nine.	false	661.74	662.49	-20
27_124992_000059_000001	And they cried to the Lord the God of Israel with one accord, that their children might not be made a prey, and their wives carried off, and their cities destroyed, and their holy things profaned, and that they might not be made a reproach to the Gentiles.	And they cried to the Lord the God of Israel with one accord, that their children might not be made a prey, and their wives carried off, and their cities destroyed, and their holy things profaned, and that they might not be made a reproach to the Gentiles.	true	662.49	678.18	21
27_124992_000060_000000	4:10.	four ten.	false	678.18	679.11	-10
27_124992_000060_000001	Then Eliachim the high priest of the Lord went about all Israel and spoke to them,	Then Eliachim the high priest of the Lord went about all Israel and spoke to them,	false	679.11	684.69	20
27_124992_000061_000000	4:11.	four eleven.	false	684.69	684.9	-20
27_124992_000061_000001	Saying: Know ye that the Lord will hear your prayers, if you continue with perseverance in fastings and prayers in the sight of the Lord.	Saying: Know ye that the Lord will hear your prayers, if you continue with perseverance in fastings and prayers in the sight of the Lord.	false	684.9	693.93	19.511518
27_124992_000062_000000	4:12.	four twelve.	false	693.93	694.14	-20
27_124992_000062_000001	Remember Moses the servant of the Lord overcame Amalec that trusted in his own strength, and in his power, and in his army, and in his shields, and in his chariots, and in his horsemen, not by fighting with the sword, but by holy prayers:	Remember Moses the servant of the Lord overcame Amalec that trusted in his own strength, and in his power, and in his army, and in his shields, and in his chariots, and in his horsemen, not by fighting with the sword, but by holy prayers:	true	694.14	711	20
27_124992_000063_000000	4:13.	four thirteen.	false	711	711.78	-20
27_124992_000063_000001	So all the enemies of Israel be, if you persevere in this work which you have begun.	So all the enemies of Israel be, if you persevere in this work which you have begun.	false	711.78	717.48	18
27_124992_000064_000000	4:14.	four fourteen.	false	717.48	718.5	-6
27_124992_000064_000001	So they being moved by this exhortation of his, prayed to the Lord, and continued in the sight of the Lord.	So they being moved by this exhortation of his, prayed to the Lord, and continued in the sight of the Lord.	true	718.5	725.79	20
27_124992_000065_000000	4:15.	four fifteen.	false	725.79	726.24	-20
27_124992_000065_000001	So that even they who offered the holocausts to the Lord, offered the sacrifices to the Lord girded with haircloths, and with ashes upon their head.	So that even they who offered the holocausts to the Lord, offered the sacrifices to the Lord girded with haircloths, and with ashes upon their head.	true	726.24	735.57	18
27_124992_000066_000000	4:16.	four sixteen.	false	735.57	736.17	-20
27_124992_000066_000001	And they all begged of God with all their heart, that he would visit his people Israel.	And they all begged of God with all their heart, that he would visit his people Israel.	true	736.17	741.85	18.43695
27_124992_000067_000000	Judith Chapter 5	Judith Chapter five	false	743.57	745.68	20.7826
27_124992_000068_000000	Achior gives Holofernes an account of the people of Israel.	Achior gives Holofernes an account of the people of Israel.	false	745.68	750.45	22.373901
27_124992_000069_000000	5:1.	five to one.	false	750.45	752.25	-20
27_124992_000069_000001	And it was told Holofernes the general of the army of the Assyrians, that the children of Israel prepared themselves to resist, and had shut up the ways of the mountains.	And it was told Holofernes the general of the army of the Assyrians, that the children of Israel prepared themselves to resist, and had shut up the ways of the mountains.	true	752.25	762.84	19
27_124992_000070_000000	5:2.	five to two.	false	762.84	764.505	-20
27_124992_000070_000001	And he was transported with exceeding great fury and indignation, and he called all the princes of Moab and the leaders of Ammon.	And he was transported with exceeding great fury and indignation, and he called all the princes of Moab and the leaders of Ammon.	false	764.505	772.5	17
27_124992_000071_000000	5:3.	five to three.	false	772.5	773.88	1
27_124992_000071_000001	And he said to them: Tell me what is this people that besetteth the mountains: or what are their cities, and of what sort, and how great: also what is their power, or what is their multitude: or who is the king over their warfare:	And he said to them: Tell me what is this people that besetteth the mountains: or what are their cities, and of what sort, and how great: also what is their power, or what is their multitude: or who is the king over their warfare:	false	773.88	789.27	20.773651
27_124992_000072_000000	5:4.	five to four.	false	789.27	789.99	-20
27_124992_000072_000001	And why they above all that dwell in the east, have despised us, and have not come out to meet us, that they might receive us with peace?	And why they above all that dwell in the east, have despised us, and have not come out to meet us, that they might receive us with peace?	true	789.99	799.08	20
27_124992_000073_000000	5:5.	five to five.	false	799.08	800.07	-20
27_124992_000073_000001	Then Achior captain of all the children of Ammon answering, said; If thou vouchsafe, my lord, to hear, I will tell the truth in thy sight concerning this people, that dwelleth in the mountains, and there shall not a false word come out of my mouth.	Then Achior captain of all the children of Ammon answering, said; If thou vouchsafe, my lord, to hear, I will tell the truth in thy sight concerning this people, that dwelleth in the mountains, and there shall not a false word come out of my mouth.	false	800.07	816.39	20.52831
27_124992_000074_000000	5:6.	five to six.	false	816.39	817.38	-20
27_124992_000074_000001	This people is of the offspring of the Chaldeans.	This people is of the offspring of the Chaldeans.	false	817.38	820.17	16
27_124992_000075_000000	5:7.	five to seven.	false	820.17	820.8	-20
27_124992_000075_000001	They dwelt first in Mesopotamia, because they would not follow the gods of their fathers, who were in the land of the Chaldeans.	They dwelt first in Mesopotamia, because they would not follow the gods of their fathers, who were in the land of the Chaldeans.	false	820.8	827.94	17
27_124992_000076_000000	5:8.	five to eight.	false	827.94	829.065	-20
27_124992_000076_000001	Wherefore forsaking the ceremonies of their fathers, which consisted in the worship of many gods,	Wherefore forsaking the ceremonies of their fathers, which consisted in the worship of many gods,	true	829.065	834.96	17
27_124992_000077_000000	5:9.	five to nine.	false	834.96	835.35	-20
27_124992_000077_000001	They worshipped one God of heaven, who also commanded them to depart from thence, and to dwell in Charan.	They worshipped one God of heaven, who also commanded them to depart from thence, and to dwell in Charan.	false	835.35	842.08	20.339188
27_124992_000077_000002	And when there was a famine over all the land, they went down into Egypt, and there for four hundred years were so multiplied, that the army of them could not be numbered.	And when there was a famine over all the land, they went down into Egypt, and there for four hundred years were so multiplied, that the army of them could not be numbered.	false	842.63	854.1	20.578012
27_124992_000078_000000	5:10.	five ten.	false	854.1	854.61	-20
27_124992_000078_000001	And when the king of Egypt oppressed them, and made slaves of them to labour in clay and brick, in the building of his cities, they cried to their Lord, and he struck the whole land of Egypt with divers plagues.	And when the king of Egypt oppressed them, and made slaves of them to labour in clay and brick, in the building of his cities, they cried to their Lord, and he struck the whole land of Egypt with divers plagues.	false	854.61	867.54	22.07475
27_124992_000079_000000	5:11.	five eleven.	false	867.54	868.38	-20
27_124992_000079_000001	And when the Egyptians had cast them out from them, and the plague had ceased from them, and they had a mind to take them again, and bring them back to their service,	And when the Egyptians had cast them out from them, and the plague had ceased from them, and they had a mind to take them again, and bring them back to their service,	true	868.38	878.4	20.979527
27_124992_000080_000000	5:12.	five twelve.	false	878.4	879.12	-20
27_124992_000080_000001	The God of heaven opened the sea to them in their flight, so that the waters were made to stand firm as a wall on either side, and they walked through the bottom of the sea and passed it dry foot.	The God of heaven opened the sea to them in their flight, so that the waters were made to stand firm as a wall on either side, and they walked through the bottom of the sea and passed it dry foot.	true	879.12	891.12	18
27_124992_000081_000000	5:13.	five thirteen.	false	891.12	892.02	-3
27_124992_000081_000001	And when an innumerable army of the Egyptians pursued after them in that place, they were so overwhelmed with the waters, that there was not one left, to tell what had happened to posterity.	And when an innumerable army of the Egyptians pursued after them in that place, they were so overwhelmed with the waters, that there was not one left, to tell what had happened to posterity.	false	892.02	904.62	19
27_124992_000082_000000	5:14.	five fourteen.	false	904.62	905.7	-20
27_124992_000082_000001	After they came out of the Red Sea, they abode in the deserts of mount Sina, in which never man could dwell, or son of man rested.	After they came out of the Red Sea, they abode in the deserts of mount Sina, in which never man could dwell, or son of man rested.	false	905.7	914.76	19.197416
27_124992_000083_000000	5:15.	five fifteen.	false	914.76	915.48	-1
27_124992_000083_000001	There bitter fountains were made sweet for them to drink, and for forty years they received food from heaven.	There bitter fountains were made sweet for them to drink, and for forty years they received food from heaven.	true	915.48	922.29	19
27_124992_000084_000000	5:16.	five sixteen.	false	922.29	923.1	-8
27_124992_000084_000001	Wheresoever they went in without bow and arrow, and without shield and sword, their God fought for them and overcame.	Wheresoever they went in without bow and arrow, and without shield and sword, their God fought for them and overcame.	true	923.1	930.81	19
27_124992_000085_000000	5:17.	five seventeen.	false	930.81	931.38	-20
27_124992_000085_000001	And there was no one that triumphed over this people, but when they departed from the worship of the Lord their God.	And there was no one that triumphed over this people, but when they departed from the worship of the Lord their God.	true	931.38	938.07	19
27_124992_000086_000000	5:18.	five eighteen.	false	938.07	939.15	-20
27_124992_000086_000001	But as often as beside their own God, they worshipped any other, they were given to spoil and to the sword, and to reproach.	But as often as beside their own God, they worshipped any other, they were given to spoil and to the sword, and to reproach.	true	939.15	947.34	19.333357
27_124992_000087_000000	5:19.	five nineteen.	false	947.34	948.36	-20
27_124992_000087_000001	And as often as they were penitent for having revolted from the worship of their God, the God of heaven gave them power to resist.	And as often as they were penitent for having revolted from the worship of their God, the God of heaven gave them power to resist.	true	948.36	956.19	16
27_124992_000088_000000	5:20.	five twenty.	false	956.19	956.85	-9
27_124992_000088_000001	So they overthrew the king of the Chanaanites, and of the Jebusites, and of the Pherezites, and of the Hethites, and of the Hevites, and of the Amorrhites, and all the mighty ones in Hesebon, and they possessed their lands, and their cities:	So they overthrew the king of the Chanaanites, and of the Jebusites, and of the Pherezites, and of the Hethites, and of the Hevites, and of the Amorrhites, and all the mighty ones in Hesebon, and they possessed their lands, and their cities:	false	956.85	971.67	21.849493
27_124992_000089_000000	5:21.	five twenty one.	false	971.67	972.435	-20
27_124992_000089_000001	And as long as they sinned not in the sight of their God, it was well with them: for their God hateth iniquity.	And as long as they sinned not in the sight of their God, it was well with them: for their God hateth iniquity.	true	972.435	979.62	19.386951
27_124992_000090_000000	5:22.	five twenty two.	false	979.62	980.385	-20
27_124992_000090_000001	And even some years ago when they had revolted from the way which God had given them to walk therein, they were destroyed in battles by many nations and very many of them were led away captive into a strange land.	And even some years ago when they had revolted from the way which God had given them to walk therein, they were destroyed in battles by many nations and very many of them were led away captive into a strange land.	true	980.385	994.11	17
27_124992_000091_000000	5:23.	five twenty three.	false	994.11	994.92	-20
27_124992_000091_000001	But of late returning to the Lord their God, from the different places wherein they were scattered, they are come together and are gone up into all these mountains, and possess Jerusalem again, where their holies are.	But of late returning to the Lord their God, from the different places wherein they were scattered, they are come together and are gone up into all these mountains, and possess Jerusalem again, where their holies are.	true	994.92	1007.91	19
27_124992_000092_000000	5:24.	five twenty four.	false	1007.91	1008.63	-20
27_124992_000092_000001	Now therefore, my lord, search if there be any iniquity of theirs in the sight of their God: let us go up to them, because their God will surely deliver them to thee, and they shall be brought under the yoke of thy power:	Now therefore, my lord, search if there be any iniquity of theirs in the sight of their God: let us go up to them, because their God will surely deliver them to thee, and they shall be brought under the yoke of thy power:	false	1008.63	1021.92	21.496052
27_124992_000093_000000	5:25.	five twenty five.	false	1021.92	1022.52	-20
27_124992_000093_000001	But if there be no offence of this people in the sight of their God, we cannot resist them because their God will defend them: and we shall be a reproach to the whole earth.	But if there be no offence of this people in the sight of their God, we cannot resist them because their God will defend them: and we shall be a reproach to the whole earth.	true	1022.52	1033.41	21.121675
27_124992_000094_000000	5:26.	five twenty six.	false	1033.41	1034.67	-20
